Shroud of Obscurity	339491	6.79%
Yrun's Wisdom	339489	6.79%
Valeroot	339452	6.79%
Prism Wraps	339242	6.78%
Fundamental Criterion	339079	6.78%
Titan Heart	339066	6.78%
The Kestrel	338864	6.78%
Elecoe's Abandon	338796	6.78%
Doublet of Onos Tull	338788	6.78%
Urzil's Pride	338425	6.77%
The Last Bear's Scorn	338390	6.77%
Sunforged Cuirass	271194	5.42%
Kermode's Cage	270494	5.41%
Static Shell	203484	4.07%
Exsanguinous	169900	3.4%
Unstable Core	169698	3.39%
Boardman's Fallacy	101290	2.03%
Aaron's Will	84858	1.7%