Pillager's Gold	268234	5.36%
Vortex Pennant	268131	5.36%
Ambitions of an Erased Acolyte	268109	5.36%
Knowledge of an Erased Mage	268034	5.36%
Tome of Elements	267692	5.35%
Kelthan Blasting Agent	267632	5.35%
Code of an Erased Sentinel	267449	5.35%
Last Gift of the Mountain	267439	5.35%
Soulfire	267416	5.35%
Gambit of an Erased Rogue	267342	5.35%
Eye of Orexia	267250	5.35%
Grimoire of Necrotic Elixirs	267199	5.34%
Box of Hydrae	267179	5.34%
Ucenui's Sphere	267057	5.34%
Murama's Hilt	266939	5.34%
Dedication of an Erased Primalist	266354	5.33%
Pebbles' Collar	265768	5.32%
Diothaen's Bloody Nib	133841	2.68%
Melvern's Writ	107263	2.15%
Valdyr's Chalice	107256	2.15%
Bloodkeeper's Nest	106416	2.13%